Roles	Engagement	Capability
POTUS	Discuss Urgent Issues Over the Phone with Heads of State	101
POTUS	Discuss Urgent Issues Over the Phone with Heads of State	114
POTUS	Discuss Urgent Issues Over the Phone with Heads of State	115
POTUS	Discuss Urgent Issues Over the Phone with Heads of State	120
POTUS	Discuss Urgent Issues Over the Phone with Heads of State	123
POTUS	Discuss Urgent Issues Over the Phone with Heads of State	124
POTUS	Discuss Urgent Issues Over the Phone with Heads of State	125
POTUS	Hold Bi-Lateral Meeting with State Dignitaries	127
POTUS	Hold Bi-Lateral Meeting with State Dignitaries	135
POTUS	Hold Bi-Lateral Meeting with State Dignitaries	136
POTUS	Hold Bi-Lateral Meeting with State Dignitaries	137
POTUS	Hold Bi-Lateral Meeting with State Dignitaries	138
POTUS	Hold Bi-Lateral Meeting with State Dignitaries	140
POTUS	Hold Bi-Lateral Meeting with State Dignitaries	141
POTUS	Hold Bi-Lateral Meeting with State Dignitaries	144
POTUS	Hold Bi-Lateral Meeting with State Dignitaries	146
POTUS	Hold Bi-Lateral Meeting with State Dignitaries	148
POTUS	Hold Bi-Lateral Meeting with State Dignitaries	149
POTUS	Hold Bi-Lateral Meeting with State Dignitaries	150
POTUS	Hold Bi-Lateral Meeting with State Dignitaries	151
POTUS	Hold Bi-Lateral Meeting with State Dignitaries	152
POTUS	Hold Bi-Lateral Meeting with State Dignitaries	153
POTUS	Hold Bi-Lateral Meeting with State Dignitaries	154
POTUS	Hold Bi-Lateral Meeting with State Dignitaries	156
POTUS	Hold Bi-Lateral Meeting with State Dignitaries	6
POTUS	Hold Bi-Lateral Meeting with State Dignitaries	10
POTUS	Hold Bi-Lateral Meeting with State Dignitaries	12
POTUS	Hold Bi-Lateral Meeting with State Dignitaries	13
POTUS	Hold Bi-Lateral Meeting with State Dignitaries	15
POTUS	Hold Bi-Lateral Meeting with State Dignitaries	16
POTUS	Hold Bi-Lateral Meeting with State Dignitaries	20
POTUS	Hold Bi-Lateral Meeting with State Dignitaries	21
POTUS	Hold Bi-Lateral Meeting with State Dignitaries	23
POTUS	Hold Bi-Lateral Meeting with State Dignitaries	24
POTUS	Hold Bi-Lateral Meeting with State Dignitaries	25
POTUS	Hold Bi-Lateral Meeting with State Dignitaries	26
POTUS	Hold Bi-Lateral Meeting with State Dignitaries	27
POTUS	Hold Bi-Lateral Meeting with State Dignitaries	41
POTUS	Hold Bi-Lateral Meeting with State Dignitaries	48
POTUS	Hold Bi-Lateral Meeting with State Dignitaries	49
POTUS	Hold Bi-Lateral Meeting with State Dignitaries	50
POTUS	Hold Bi-Lateral Meeting with State Dignitaries	51
POTUS	Hold Bi-Lateral Meeting with State Dignitaries	52
POTUS	Hold Bi-Lateral Meeting with State Dignitaries	53
POTUS	Hold Bi-Lateral Meeting with State Dignitaries	58
POTUS	Hold Bi-Lateral Meeting with State Dignitaries	59
POTUS	Hold Bi-Lateral Meeting with State Dignitaries	84
POTUS	Hold Bi-Lateral Meeting with State Dignitaries	85
POTUS	Hold Bi-Lateral Meeting with State Dignitaries	95
POTUS	Hold Bi-Lateral Meeting with State Dignitaries	96
POTUS	Hold Bi-Lateral Meeting with State Dignitaries	97
POTUS	Hold Bi-Lateral Meeting with State Dignitaries	101
POTUS	Hold Bi-Lateral Meeting with State Dignitaries	114
POTUS	Hold Bi-Lateral Meeting with State Dignitaries	115
POTUS	Hold Bi-Lateral Meeting with State Dignitaries	120
POTUS	Hold Bi-Lateral Meeting with State Dignitaries	123
POTUS	Hold Bi-Lateral Meeting with State Dignitaries	124
POTUS	Hold Joint Press Conference with Dignitaries	135
POTUS	Hold Joint Press Conference with Dignitaries	137
POTUS	Hold Joint Press Conference with Dignitaries	138
POTUS	Hold Joint Press Conference with Dignitaries	139
POTUS	Hold Joint Press Conference with Dignitaries	141
POTUS	Hold Joint Press Conference with Dignitaries	10
POTUS	Hold Joint Press Conference with Dignitaries	15
POTUS	Hold Joint Press Conference with Dignitaries	20
POTUS	Hold Joint Press Conference with Dignitaries	21
POTUS	Hold Joint Press Conference with Dignitaries	24
POTUS	Hold Joint Press Conference with Dignitaries	26
